YY/MM/DD,Hour:Min:Sec,r1,r2,MS5803_T,pressure,therm_T
2021/4/2,19:19:14,35.55,40.24,11.66111,1249.21,10.2163
2021/4/2,19:24:15,30.71,35.42,11.77259,1254.867,10.21833
2021/4/2,19:29:16,29.13,33.83,11.92113,1262.156,10.32395
2021/4/2,19:34:17,29.50,35.31,11.95825,1268.667,10.36198
2021/4/2,19:39:17,32.47,37.35,11.56816,1273.635,10.11431
2021/4/2,19:44:18,34.18,39.30,11.54957,1279.494,10.17235
2021/4/2,19:49:19,29.14,34.34,11.84688,1286.381,10.27542
2021/4/2,19:54:20,28.97,33.38,11.69828,1291.41,10.16715
2021/4/2,19:59:20,30.09,35.53,11.71686,1296.335,10.1418
2021/4/2,20:4:21,29.30,34.30,11.73544,1303.057,10.15147
2021/4/2,20:9:22,31.47,36.37,11.58676,1307.566,10.08682
2021/4/2,20:14:23,37.95,41.87,11.15864,1312.4,9.728203
2021/4/2,20:19:23,29.66,34.36,11.40074,1318.651,9.821795
2021/4/2,20:24:24,35.07,38.80,11.14001,1323.381,9.641648
2021/4/2,20:29:25,44.74,49.38,10.93489,1328.247,9.637788
2021/4/2,20:34:26,49.15,53.38,10.65484,1333.685,9.361098
2021/4/2,20:39:26,53.74,58.26,10.26206,1337.036,8.761869
2021/4/2,20:44:27,51.08,54.90,10.20589,1341.755,8.707689
2021/4/2,20:49:28,46.85,51.43,10.4866,1345.549,9.084228
2021/4/2,20:54:29,40.07,43.38,10.4492,1349.55,9.013457
2021/4/2,20:59:29,48.10,52.81,10.39308,1354.014,8.879436
2021/4/2,21:4:30,51.68,55.75,10.28079,1357.306,8.762172
2021/4/2,21:9:31,49.42,53.65,10.26206,1360.586,8.765511
2021/4/2,21:14:32,49.30,53.48,10.28079,1362.938,8.769853
2021/4/2,21:19:32,41.29,45.26,10.56139,1367.002,9.121194
